mpg,protestant,catholic,jehovah,orthodox,mormon,unaffiliated,jewish
0.64,0.69,0.08,0.00,0.01,0.00,0.16,0.01
0.25,0.36,0.14,0.01,0.04,0.02,0.37,0.00
0.21,0.39,0.25,0.01,0.00,0.03,0.24,0.01
0.53,0.59,0.11,0.00,0.00,0.01,0.25,0.01
0.32,0.36,0.30,0.01,0.00,0.01,0.25,0.01
0.17,0.41,0.21,0.01,0.01,0.02,0.28,0.02
0.36,0.40,0.28,0.00,0.01,0.02,0.21,0.02
0.39,0.38,0.23,0.00,0.01,0.00,0.31,0.03
0.21,0.42,0.25,0.01,0.01,0.00,0.25,0.02
0.48,0.64,0.13,0.00,0.00,0.01,0.18,0.01
0.20,0.24,0.26,0.00,0.00,0.00,0.38,0.02
0.26,0.45,0.14,0.00,0.00,0.12,0.24,0.01
0.42,0.44,0.24,0.01,0.00,0.00,0.23,0.02
0.46,0.58,0.17,0.00,0.00,0.01,0.19,0.00
0.42,0.47,0.20,0.01,0.00,0.01,0.26,0.02
0.38,0.54,0.19,0.00,0.00,0.01,0.20,0.01
0.59,0.60,0.14,0.00,0.00,0.01,0.19,0.00
0.56,0.53,0.22,0.00,0.00,0.00,0.19,0.01
0.12,0.50,0.12,0.00,0.00,0.00,0.33,0.00
0.43,0.42,0.18,0.01,0.00,0.00,0.28,0.03
0.40,0.37,0.28,0.01,0.01,0.00,0.23,0.03
0.35,0.49,0.20,0.00,0.01,0.01,0.23,0.01
0.29,0.50,0.21,0.01,0.00,0.00,0.21,0.01
0.70,0.67,0.12,0.00,0.01,0.00,0.15,0.00
0.43,0.55,0.18,0.00,0.00,0.01,0.19,0.01
0.21,0.38,0.18,0.00,0.00,0.01,0.34,0.01
0.41,0.48,0.24,0.00,0.00,0.01,0.22,0.00
0.17,0.37,0.25,0.01,0.01,0.03,0.28,0.02
0.20,0.39,0.24,0.00,0.01,0.00,0.25,0.03
0.39,0.36,0.29,0.00,0.01,0.01,0.23,0.04
0.30,0.34,0.29,0.01,0.01,0.02,0.28,0.00
0.46,0.33,0.32,0.01,0.01,0.00,0.22,0.04
0.45,0.59,0.14,0.01,0.00,0.00,0.20,0.01
0.46,0.52,0.22,0.00,0.00,0.01,0.22,0.00
0.40,0.50,0.18,0.00,0.01,0.00,0.23,0.01
0.46,0.60,0.13,0.00,0.00,0.00,0.22,0.00
0.14,0.42,0.14,0.00,0.00,0.03,0.32,0.02
0.41,0.44,0.22,0.00,0.01,0.00,0.23,0.02
0.46,0.31,0.35,0.00,0.00,0.01,0.29,0.02
0.48,0.62,0.12,0.00,0.00,0.00,0.18,0.01
0.46,0.50,0.20,0.00,0.01,0.02,0.22,0.00
0.56,0.61,0.11,0.00,0.00,0.01,0.22,0.01
0.43,0.45,0.28,0.01,0.00,0.01,0.20,0.01
0.54,0.19,0.14,0.01,0.00,0.37,0.23,0.00
0.11,0.39,0.22,0.01,0.00,0.02,0.30,0.00
0.39,0.54,0.14,0.00,0.01,0.01,0.23,0.01
0.17,0.39,0.17,0.01,0.01,0.03,0.32,0.00
0.50,0.56,0.11,0.01,0.00,0.01,0.28,0.00
0.30,0.45,0.23,0.00,0.00,0.00,0.26,0.01
0.25,0.33,0.15,0.00,0.00,0.07,0.40,0.01
